챕터명,사이트 링크,파일,연결 기출,시험 포인트 행,볼드 수,정답 선택지 완전 일치,정답 키워드 대조,키워드 대조율,부정형 문항,긍정형 문항,본문 정답 근거 대조,본문 대조율,누락 기출 ID,태그,검토 플래그
온열조건 (WBGT·실효온도),/industrial-safety/written/ergonomics/thermal-conditions-wbgt/,ergonomics/thermal-conditions-wbgt.md,2,6,6,0,1,0.500,0,2,1,0.500,,개념,
THERP·휴먼에러 정량화,/industrial-safety/written/ergonomics/therp-human-error/,ergonomics/therp-human-error.md,2,6,6,0,1,0.500,0,2,1,0.500,,개념,
총 소음 노출량 (TND),/industrial-safety/written/ergonomics/total-noise-dose/,ergonomics/total-noise-dose.md,1,6,7,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
VDT 화면 대비,/industrial-safety/written/ergonomics/vdt-contrast/,ergonomics/vdt-contrast.md,1,7,7,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
웨버-페히너 법칙,/industrial-safety/written/ergonomics/weber-fechner-law/,ergonomics/weber-fechner-law.md,1,6,8,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
작업장 배치 원칙,/industrial-safety/written/ergonomics/workplace-layout-principles/,ergonomics/workplace-layout-principles.md,4,6,6,0,3,0.750,1,3,2,0.667,,개념,부정형 1
표준화 변수 Z,/industrial-safety/written/ergonomics/z-score/,ergonomics/z-score.md,2,6,6,2,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
평형 플랜지 지름,/industrial-safety/written/mechanical/balance-flange-diameter/,mechanical/balance-flange-diameter.md,4,6,6,4,4,1.000,0,4,4,1.000,,개념,
보일러 안전장치,/industrial-safety/written/mechanical/boiler-safety-devices/,mechanical/boiler-safety-devices.md,15,11,11,9,12,0.800,4,11,9,0.818,,개념,부정형 4
공동현상 (Cavitation),/industrial-safety/written/chemical/cavitation/,mechanical/cavitation.md,2,6,6,1,1,0.500,1,1,1,1.000,,개념,부정형 1
둥근톱기계 방호장치 분류,/industrial-safety/written/mechanical/circular-saw-devices/,mechanical/circular-saw-devices.md,5,8,10,3,4,0.800,3,2,2,1.000,,개념,부정형 3
콘베이어 안전,/industrial-safety/written/mechanical/conveyor-safety/,mechanical/conveyor-safety.md,10,11,11,2,6,0.600,7,3,3,1.000,,개념 법령,법령 직접 검토 · 부정형 7
크레인 전용탑승설비 추락방지,/industrial-safety/written/mechanical/crane-passenger-safety/,mechanical/crane-passenger-safety.md,1,5,5,0,1,1.000,1,0,0,1.000,,개념 법령,법령 직접 검토 · 부정형 1
크레인 로프 하중,/industrial-safety/written/mechanical/crane-rope-load/,mechanical/crane-rope-load.md,2,6,7,2,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
크레인 안전장치,/industrial-safety/written/mechanical/crane-safety-devices/,mechanical/crane-safety-devices.md,5,9,10,5,5,1.000,3,2,2,1.000,,개념,부정형 3
설비 안전화 3가지 분류,/industrial-safety/written/mechanical/equipment-safety-three/,mechanical/equipment-safety-three.md,3,6,6,3,3,1.000,2,1,1,1.000,,개념,부정형 2
기계의 5대 위험점,/industrial-safety/written/mechanical/five-pinch-points/,mechanical/five-pinch-points.md,3,5,6,3,3,1.000,0,3,3,1.000,,개념,
지게차 안전,/industrial-safety/written/mechanical/forklift-safety/,mechanical/forklift-safety.md,13,7,13,3,7,0.538,3,10,7,0.700,,계산 법령,계산 직접 검토 · 법령 직접 검토 · 부정형 3
연삭기 노출각도 기준,/industrial-safety/written/mechanical/grinder-exposure-angle/,mechanical/grinder-exposure-angle.md,2,4,4,2,2,1.000,0,2,2,1.000,,개념 법령,법령 직접 검토
연삭숫돌 회전속도,/industrial-safety/written/mechanical/grinder-rotation-speed/,mechanical/grinder-rotation-speed.md,3,8,8,2,2,0.667,0,3,2,0.667,,계산,계산 직접 검토
